team,red,green,blue,percentage
team_a_4.jpg,148,144,76,41
team_a_4.jpg,4,4,3,35
team_a_4.jpg,87,85,69,23
team_a_3.jpg,132,125,90,34
team_a_3.jpg,6,5,3,47
team_a_3.jpg,211,207,149,18
team_a_2.jpg,0,0,0,60
team_a_2.jpg,146,138,63,18
team_a_2.jpg,161,162,146,20
team_a_1.jpg,2,1,1,52
team_a_1.jpg,183,176,64,25
team_a_1.jpg,156,148,129,22

team_b_4.jpg,71,65,58,13
team_b_4.jpg,135,127,120,12
team_b_4.jpg,2,1,1,73
team_b_5.jpg,114,107,100,22
team_b_5.jpg,6,6,7,75
team_b_5.jpg,254,254,251,1

team,red,green,blue,percentage
team_b_2.jpg,3,3,3,60
team_b_2.jpg,90,84,75,18
team_b_2.jpg,146,135,117,20

team_b_3.jpg,135,128,119,24
team_b_3.jpg,3,2,2,60
team_b_3.jpg,81,72,63,15
team_b_1.jpg,2,2,4,68
team_b_1.jpg,142,135,126,20
team_b_1.jpg,73,70,68,10
